"","object_id","global_id","transect_meter_mark","direction_to_group","distance_to_group","number_seedlings_in_group","number_vegetative_in_group","number_reproductive_in_group","site_name","dist_between_transects","event_date","recorded_by","transect_number","transect_orientation","parent_global_id","creation_date","creator","edit_date","editor","x","y","Transect Length"
"44","65","6188d972-098a-47ba-be5c-dc941730547a",-28.6,"-",-0.48,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-28.6,-0.48,50
"45","66","41191c38-1f3c-4a7c-8969-dc7f7a5b8cbc",-29.78,"+",0.64,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-29.78,0.64,50
"46","67","d76a76ca-34bc-4d74-945f-7a2f085eafb4",-30.1,"-",-1.98,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-30.1,-1.98,50
"47","68","f3b617b6-00ec-4f10-8782-87188ec63e2f",-30.3,"+",1.74,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-30.3,1.74,50
"48","69","8804427e-f027-4426-a81f-35c101d507fd",-31.2,"-",-2.28,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-31.2,-2.28,50
"49","70","b9b4b406-5d52-4c4f-8c80-d282ef13d959",-32.23,"+",0.4,NA,2,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-32.23,0.4,50
"50","71","7ade94a9-5bb1-4d97-866d-a94a8a429625",-33.2,NA,0.52,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-33.2,0.52,50
"51","72","3c1ca9c4-b1c2-4619-a10c-93c9230d377e",-33.24,"-",-1.42,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-33.24,-1.42,50
"52","73","d33223ec-ff6b-4806-8f98-b621885df6fd",-34.14,"-",-0.94,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-34.14,-0.94,50
"53","74","a3ab0dbf-15d8-4aff-b5de-e1b6c53c5382",-34.46,"-",-0.86,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-34.46,-0.86,50
"54","75","d6eb7f10-a641-4a82-b998-bdb2c8b9ef4d",-34.9,"-",-0.26,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-34.9,-0.26,50
